번호,조사 모듈,여정 단계,질문(보완 반영),타사와 비교포인트,중요(★)
Q1,,,"아이폰 총 이용기간, 아이폰이 좋은 이유(갤럭시 대비), 계속 아이폰을 쓰는 이유? (오프닝이니 가볍게)",,
Q2,오프닝/컨텍스트,오프닝,"번호 이동 시점, 최근 번호이동은 어디에서 어디로 이동했나요? (U+↔SKT/KT)",이동 전/후 통신사 경험 비교를 위한 기본 맥락,
Q3,,,"이번 이동에서 가장 중요했던 기준 Top3는 무엇이었나요? (요금/혜택/단말조건/배송/개통/품질/앱/보안/AI/결합 등) | Top3 기준을 ‘가중치(100점 배분)’로 나누고, 실제 경험 후 가중치가 바뀌었는지도 말해 주세요.",U+ vs SKT vs KT에서 기준별 체감 차이,★
Q4,,,아이폰 사용 이력(기간)과 애플 생태계 몰입 정도(기기/icloud 등)를 간단히 알려주세요.,애플 생태계 기대치에 부합한 통신 경험(앱/온보딩/보안) 비교,
Q5,,,"현재 이용 중인 통신사 NPS(0~10)는 몇 점이고, 이유는 무엇인가요? | (중요) 점수의 근거가 된 ‘결정적 순간(Top1)’과 ‘반대로 점수를 깎은 순간(Top1)’을 시간순으로 구체 사례로 설명해 주세요.",현재 통신사 vs 직전 통신사 평가 차이,★
Q6,,,"직전 통신사 NPS(0~10)는 몇 점이고, 이유는 무엇인가요? | (중요) 점수의 근거가 된 ‘결정적 순간(Top1)’과 ‘반대로 점수를 깎은 순간(Top1)’을 시간순으로 구체 사례로 설명해 주세요.",직전 통신사 대비 현재 통신사 강/약점,★
Q7,,,"9~10점(프로모터)을 주려면 무엇이 달라져야 하나요? (초기 가설) | (중요) 바뀌어야 할 3가지를 ‘여정 단계’에 매핑하고, 각각을 충족했을 때 NPS가 몇 점까지 오를지(예: +2/+3)도 말해 주세요.",U+가 SKT/KT 대비 따라가거나 이길 영역,★
Q8,번호이동 결정여정,결정 여정,"처음 ‘옮길까?’라고 생각한 트리거 사건이 있었나요? (언제/무슨 일/누가 영향)
- 트리거 전/후 기대가 어떻게 바뀌었는지, 그리고 그 기대를 충족한 통신사는 어디였는지까지 비교해 주세요.",트리거가 통신사별로 무엇이 달랐는지,★
Q9,,,"탐색 시작부터 통신사 결정까지 과정이 어땠나요? 선택까지 총 얼마나 걸렸나요? 중간에 갈등/망설임이 있었나요?
- 결정 과정에서 ‘불확실성’(정보 부족/약속 불명확) 때문에 추가로 들인 시간/노력(전화, 방문, 커뮤니티 검색)을 구체적으로 말해 주세요.",의사결정 마찰(시간/불확실성/신뢰) 비교,★
Q10,,,"커뮤니티/유튜브/지인/대리점 중 결정에 가장 큰 영향을 준 1순위는 무엇인가요?
- 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.",통신사별 정보접점(공식/비공식) 신뢰도 차이,
Q11,,,"커뮤니티에서 신뢰하는 글/작성자/지표(성지표, 좌표, 후기 패턴 등)가 있나요?",통신사별 ‘좋다/나쁘다’가 형성되는 근거 비교,
Q12,,,커뮤니티에서 불신하게 되는 신호는 무엇인가요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,통신사별 불신 유발 요소(조건/후기/대응) 비교,
Q13,탐색/인지,혜택 비교,"번호이동 전 통신사에 대해 기대했던 핵심 2~3가지는 무엇이었나요?
- 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.",기대 수준이 U+ vs SKT/KT에서 어떻게 달랐는지,
Q14,,,사전예약/혜택 비교 과정에서 가장 도움이 된 것은 무엇이었나요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,혜택 탐색의 편의성/명확성 비교,
Q15,,,"사은품/보상프로그램/할인 조건은 이해하기 쉬웠나요? 무엇이 이해를 방해했나요? (유지기간/차감/페이백/제휴카드/등급조건 등) | 조건(유지기간/제휴카드/페이백 등)이 ‘신뢰’에 미친 영향과, 이해를 돕는 가장 좋은 제시 방식(표/요약/시뮬레이터)을 제안해 주세요.",조건의 투명성/복잡도: U+ vs SKT/KT,★
Q16,,재고/알림,원하는 모델/색상 재고를 확인하는 과정은 어땠나요? | 재고/알림이 불확실했을 때 ‘통신사’에 대한 신뢰가 어떻게 달라졌는지(점수로) 말해 주세요.,재고 확인의 정확도/속도/경로 비교,★
Q17,,,실시간 재고 표시나 예약 알림(문자/앱)은 신뢰할 만했나요? | 재고/알림이 불확실했을 때 ‘통신사’에 대한 신뢰가 어떻게 달라졌는지(점수로) 말해 주세요.,알림 신뢰도 및 안내 일관성 비교,★
Q18,,,불안/불신이 생긴 순간이 있었나요? 그때 무엇을 했나요? (커뮤니티 재확인/지점 전화/타사 이동 등) | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,불신 발생 시 통신사별 대응/대안 경험 비교,
Q19,,비교 요약,"탐색/인지 단계에서 어느 통신사가 더 좋았고(우위), 왜 그랬나요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.",U+ vs SKT vs KT 우위 근거,
