seq_ai,AI_cat,평가_항목,AI_question,AI_answer
1,Design 역량,전략적사고력,전략 설계 중 가장 어려웠던 트레이드오프?,5G 수익성 vs 가입자 수. 시간 축 분리 + 번들 가입자 비율 KPI로 두 목표 통합.
1-F,Design 역량,전략적사고력 (분기),수익성·성장성 충돌 → 어떤 기준과 순서로 풀었나?,12개월 내 번들 가입자 구조 확보 → EBITDA 마진 동반 상승. 이사회에 새 지표 제안으로 설득.
2,Design 역량,실행력,가장 큰 병목과 돌파 방식?,AI 도입 시 구성원 불안(사람 문제). ①성공 사례 공개 공유 ②리더 직접 시범 사용으로 해소.
2-F,Design 역량,실행력,구체적 돌파 방식?,AI는 보좌관 메시지 반복 + 본인이 AI 초안 수정 과정 공개.
3,Design 역량,종합적기획력,가장 보완했어야 할 기획 부분?,멜론 M&A 통합 속도 낙관. 문화 충돌 영향 기간 과소평가. 통합 프로그램 부재.
3-F,Design 역량,종합적기획력,이후 기획에 어떻게 반영했나?,JV 시나리오에 운영 통합 난이도 항목 추가. 통합 시간·내부 마찰 비용을 NPV에 반영.
4,Learning Agility,Learning Agility,최근 1년 가장 크게 바꾼 의사결정 방식?,빠른 결정 → 빠른 실험. 아이디어 수령 시 3주 내 파일럿 검증 가능한가를 먼저 질문.
4-F,Learning Agility,Learning Agility,변화 계기가 외부 압력인가 내부 성찰인가?,반은 외부(경쟁사 파일럿 선행). 반은 내부(실험 우선 방식으로 결과 개선 후 신념화).
5,Attitude,Resilience,베트남 위기 당시 내면에서 가장 크게 싸운 것?,자책(왜 못 봤나) vs 실행(지금 뭘 해야 하나). 첫 24시간 양쪽에 집중 불가. 과거는 나중에 지금 할 것만 목록 작성으로 돌파.
5-F,Attitude,Resilience,감정적 처리는 언제 했나?,위기 수습 후 귀국 비행기 안에서 전체 서면 복기. 실행 중 억누름이 아닌 순서 분리.
6,Learning Agility,Globality,동남아 현지화 중 가장 예상과 달랐던 포인트?,현지 정부 비공식 신뢰가 공식 계약보다 사업 속도 좌우.
6-F,Learning Agility,Globality (분기),신뢰 쌓는 데 얼마나 걸렸고 전환 계기는?,6개월 공식 미팅 후 전환점: 통신 세미나에서 한국 LTE 실패 사례 공개 → 포장 안 하는 사람 신뢰 형성.
7,Attitude,Humility,구성원 피드백 중 가장 받아들이기 어려웠던 것?,좋은 아이디어를 주시는데 실망하시는 게 느껴진다. 처음엔 불편함 → 이후 언어 조정(함께 생각해보고 싶다 추가).
7-F,Attitude,Humility,내용 때문인가 전달 방식 때문인가?,내용 때문. 전달 방식은 오히려 용감한 것으로 평가. 구성원 시각을 처음으로 인식.
8,Attitude,Integrity,성과와 원칙 충돌 시 기준선?,공개했을 때 구성원이 납득할 수 있는가. 단기 수치와 무관한 고정 원칙.
8-F1,Attitude,Integrity,기준선 지켜 단기 성과 포기한 경험?,100억 규모 비동의 데이터 활용 계약 거절. 사후 같은 파트너가 더 좋은 조건으로 재계약.
8-F2,Attitude,Integrity (분기),조직 반응과 지금도 같은 선택할지?,초기 반발 → 이유 직접 설명 → 팀 스스로 기준 적용 문화 형성. 같은 선택 확인.
9,Design 역량,비전명확성,비전 5년 검증 지표?,임원 의사결정에서 AI 보조 분석 반영 비율 70%. 현재 약 30% 달성.
9-F,Design 역량,비전명확성,현재 도달 수준?,"약 30%. AI 추적 체계 미완성 상태, 추적 시스템 구축이 다음 과제."
G1,Attitude,고정-리더십중요,리더로서 가장 중요한 것?,다음 판단을 맡길 수 있는 사람 키우기. 위임 가능한 판단 능력 복제가 리더십의 본질.
G2,Attitude,고정-스트레스,스트레스 상황에서 어떤 사람이 되나?,"말수 감소, 지시형 문장 증가. 스트레스 후 상황 설명으로 팀 신뢰 유지."
G3,Attitude,고정-타인평가,밑에서 일하는 사람의 한마디?,같이 일하면 성장하는데 따라가기 벅차다.
G4,Attitude,고정-CEO의미,CEO 자리의 의미?,조직의 가장 긴 시간 축 책임. 10년 이상 역산 판단을 지금 내리는 역할.
G5,Attitude,고정-CEO포기,CEO가 되면 가장 먼저 포기해야 할 것?,직접 실행하는 쾌감. 지적으로는 준비됐으나 감정적으로는 연습 중.
10,Attitude,나르시즘,반대 의견 강한 부하직원 대응 방식?,반대 근거(데이터/직관) 구분 후 대응. 결정 후 이유 반드시 설명.
10-F1,Attitude,나르시즘,구체적 사례?,5G B2B 분리 반대 이사. 타이밍 조정(3개월 준비 기간 추가)으로 피드백 일부 반영.
10-F2,Attitude,나르시즘 (분기),반대 의견에서 배운 점?,"자원 낭비 우려를 반영해 실행 타이밍 조정. 방향은 유지, 시점 수정."
11,Attitude,타인조작,팀 실패 시 책임 귀인 방식?,구조(목표·자원) 문제는 본인 책임. 실행도 권한·정보 부재 시 본인 책임.
11-F,Attitude,타인조작,실패 사례 팀원 인식?,서비스 MAU 목표 30% 미달. 팀원 목표치 공격적으로 인식. → 분기별 목표 재검토 체크인 신설.
12,Attitude,미시적관리,부하직원 다른 방식 처리 시 개입 시점?,결과물 기준 개입. 프로세스 차이는 허용. 신호 주기 쉬운 환경 조성이 핵심.
12-F,Attitude,미시적관리,기준이 팀원에게 명확히 전달되는가?,완벽하지 않음. AI 관심 영역에서 과잉 관여 위험 의식적 경계.
13,Attitude,공격성,화가 났을 때 주변이 아는 방법?,"말수 감소, 지시형 증가, 테이블에 손 올림. 팀원들이 신호 학습함."
13-F,Attitude,공격성,화난 상태 후회 결정?,베트남 법무팀장 과도 다그침 → 이미 준비된 자료 있었음 → 사후 사과.
14,Attitude,수동공격성,조직 결정 동의 못 할 때 불만 표현 방식?,결정권자에게 비공개 1:1로 직접 전달 후 결정 유지 시 수용.
14-F,Attitude,수동공격성,팀에 미친 영향?,이견 직접 표현 문화 형성(긍정). 윗선 먼저 이야기한다는 오해 가능성(부정).
15,Attitude,냉담성,성과 저하 팀원 역량/개인사정 구분 방법?,추이(갑작스러움) + 1:1 면담. 직접 업무 외 어려운 게 있냐 질문.
15-F,Attitude,냉담성 (분기),역량 문제 팀원 지원과 결과?,스타트업 출신 팀원에 시니어 페어 배치 → 6개월 후 최고 성과자로 전환.
16,Attitude,과도한야망,더 높은 역할을 원하나?,원함. 이유: AI 전환 완성을 위한 결정 권한 필요. 지위가 아닌 미션 완수 목적.
17,Attitude,자기인식정확도,주변도 같은 강·약점 꼽을 것 같은가?,강점은 동일. 약점(조급함)은 본인보다 주변이 더 크게 봄.
17-F,Attitude,자기인식정확도,간극 인식 계기?,360도 피드백: 팀원 80%가 조급함 동일 지적. 나아졌다 자기인식과 아직 남아있다 타인인식의 시차 구체 확인.
18,Attitude,피드백수용성,가장 듣기 싫었던 피드백과 처리 방식?,CFO: ROI 불명확한 AI 투자 계속 밀어붙인다. 초기 방어적 반응 → 당일 저녁 자료 재검토 → 다음 날 보완 후 선제 연락.
18-F,Attitude,피드백수용성 (분기),처음 들었을 때 감정?,방어적. 제대로 봤나 의심. 하루 안에 재검토하는 개인 패턴으로 전환.
